Brand,fueltype,mileage,model,price,transmission,variant,year
Audi,Diesel,70500,A4,2650000,Automatic,35 TDI Premium + Sunroof,2015
Audi,Diesel,0,A6,2295000,0,0,2018
Audi,Diesel,0,Q3,530000,0,0,2016
BMW,Diesel,0,3 Series,32000,0,2.5 GX (Diesel) 8 Seater BS IV,2013
BMW,Diesel,30808,3 Series,140999,Manual,2.5 GX (Diesel) 8 Seater,2014
BMW,Diesel,0,5 Series,400000,0,0,4021
BMW,Diesel,0,6 Series,355000,0,0,2013
BMW,Diesel,0,6 Series,640000,0,350d 4MATIC,2013
BMW,Diesel,0,X1,1845000,0,RXZ,2019
BMW,Petrol,69000,5 Series,1025000,Automatic,523i,2010
BMW,Petrol,0,X1,599000,0,Sportz,2011
Chevrolet,Diesel,62000,Sail U-VA,199999,Automatic,1.4 CRDI Asta (O),2013
Chevrolet,Diesel,25446,Sail U-VA,225000,Manual,LXI,2013
Fiat,Diesel,98000,500,265000,Manual,0,2009
Fiat,Diesel,0,Palio Stile,499599,0,RXT,2008
Ford,Diesel,0,Ecosport,285000,0,0,2017
Ford,Diesel,67542,Ecosport,265000,Manual,T8,2019
Ford,Diesel,0,Fiesta,250000,0,0,2007
Ford,Diesel,0,Figo,841000,0,0,2011
Ford,Diesel,0,Figo Aspire,300000,0,Era Plus,2017
Ford,Petrol,0,Ecosport,275000,0,0,2014
Ford,Petrol,0,Ecosport,860000,0,Lounge,2015
Ford,Petrol,24000,Figo,3450000,Manual,VDi,2016
Honda,Diesel,0,Amaze,560000,0,520d Luxury Line,2016
Honda,Diesel,0,City,1021000,0,0,4031
Honda,Diesel,0,Jazz,1735000,0,0,4033
Honda,Petrol,0,Amaze,2241000,0,0,2017
Honda,Petrol,63213,City,824000,Manual,0,2011
Hyundai,CNG & Hybrids,108000,EON,800000,Manual,0,2013
Hyundai,Diesel,0,Creta,361000,0,0,2015
Hyundai,Diesel,0,Creta,710000,0,110PS Diesel RxZ,2017
Hyundai,Diesel,16000,Elantra,1600000,Manual,1.5 Diesel Titanium,2018
Hyundai,Diesel,0,Elite i20,396000,0,1.2 MPI Highline Plus,2014
Hyundai,Diesel,120000,Elite i20,1075000,Manual,i-DTEC VX,2018
Hyundai,Diesel,0,Grand i10,4650000,0,0,2014
Hyundai,Diesel,0,i20,590000,0,1.5 Petrol Titanium,2012
Hyundai,Diesel,0,i20,484000,0,ZDI,2013
Hyundai,Diesel,0,Verna,385000,0,0,2013
Hyundai,Petrol,0,Creta,675000,0,Others,2019
Hyundai,Petrol,0,Elite i20,5200000,0,0,2018
Hyundai,Petrol,0,Elite i20,215000,0,M6 8Str,2016
Hyundai,Petrol,0,EON,470000,0,VXI,2014
Hyundai,Petrol,0,Grand i10,40000,0,0,2015
Hyundai,Petrol,0,Grand i10,1530000,0,ZDI,2015
Hyundai,Petrol,93000,Grand i10,145000,Automatic,0,2016
Hyundai,Petrol,43000,Grand i10,535000,Manual,1.2 Kappa Magna,2015
